seed,condition,panel,source_video_id,n_frames,accuracy,nll,post_switch_nll
13800,direct_alpha,qualification_hidden,c06_clip004_video176,24,1.0,0.22541581492774113,0.29001800551334594
13800,direct_alpha,qualification_hidden,c42_clip017_video028,24,1.0,0.058056139431795384,0.08593748665872082
13800,direct_alpha,qualification_hidden,c18_clip013_video006,24,1.0,0.04391143911921703,0.07564869633745452
13800,direct_alpha,qualification_hidden,c17_clip007_video117,24,0.875,0.7631049873005912,1.1054775675337718
13800,direct_alpha,qualification_hidden,c00_clip011_video045,24,1.0,0.1451523318945289,0.17126709773123552
13800,direct_alpha,qualification_hidden,c46_clip008_video011,24,1.0,0.4453416415386537,
13800,direct_alpha,qualification_hidden,c13_clip003_video021,24,1.0,0.3974981988174158,0.3851514041088946
13800,direct_alpha,qualification_hidden,c19_clip032_video081,24,1.0,0.0496710044549678,0.08559545200958175
13800,direct_alpha,qualification_hidden,c23_clip023_video020,24,1.0,0.11582549066273506,0.18223690059738976
13800,direct_alpha,qualification_hidden,c12_clip004_video103,24,1.0,0.12330831311315947,0.17544995049778742
13800,direct_alpha,qualification_hidden,c44_clip014_video022,24,0.9166666666666666,0.5385130719424668,0.6020218186481238
13800,direct_alpha,qualification_hidden,c27_clip001_video010,24,0.75,1.4876787633841648,
13800,direct_alpha,qualification_hidden,c02_clip022_video152,24,0.9583333333333334,0.362643443090409,0.512174822445255
13800,direct_alpha,qualification_hidden,c15_clip008_video043,24,1.0,0.20960290583897753,0.2437793882685629
13800,direct_alpha,qualification_hidden,c33_clip017_video083,24,1.0,0.18431293434584917,0.3006034815149939
13800,direct_alpha,qualification_hidden,c40_clip006_video005,24,0.5833333333333334,0.8874254810811043,0.9498942164090439
13800,direct_alpha,qualification_hidden,c29_clip003_video016,24,0.20833333333333334,2.776052585688415,2.9163591461687512
13800,direct_alpha,qualification_hidden,c47_clip014_video024,24,0.0,1.8697913796556633,
13800,direct_alpha,qualification_hidden,c15_clip003_video065,24,1.0,0.03312844892230387,0.06623078227126625
13800,direct_alpha,qualification_hidden,c41_clip013_video009,24,1.0,0.1372827459625912,0.14830297442421908
13800,direct_alpha,qualification_hidden,c01_clip023_video198,24,0.7083333333333334,0.8066878453378065,0.7507030152791581
13800,direct_alpha,qualification_hidden,c46_clip015_video022,24,1.0,0.17401698983188987,0.2021845844369161
13800,direct_alpha,qualification_hidden,c30_clip024_video032,24,0.0,3.743425736916089,3.95045716761812
13800,direct_alpha,qualification_hidden,c24_clip011_video039,24,0.75,0.7471433711271938,
13800,direct_alpha,qualification_hidden,c13_clip000_video112,24,1.0,0.5959335888246997,0.7780272722631184
13800,direct_alpha,qualification_hidden,c24_clip006_video043,24,0.9583333333333334,0.7073006806760972,0.4160547524475932
13800,direct_alpha,qualification_hidden,c47_clip005_video005,24,0.041666666666666664,2.059075538146475,2.0534796201255614
13800,direct_alpha,qualification_hidden,c39_clip006_video025,24,0.9166666666666666,0.5468859927113365,0.8281144701545925
13800,direct_alpha,qualification_hidden,c12_clip016_video093,24,0.041666666666666664,2.513278166778002,2.573618898033832
13800,direct_alpha,qualification_hidden,c17_clip014_video005,24,1.0,0.3766476838029084,
13800,direct_alpha,qualification_hidden,c28_clip000_video102,24,1.0,0.1427187462215177,0.2695876107567236
13800,direct_alpha,qualification_hidden,c34_clip011_video071,24,0.9583333333333334,0.24647641835424683,0.38362488145588963
13800,direct_alpha,qualification_hidden,c43_clip024_video003,24,0.9583333333333334,0.445481948517435,0.4324236573803515
13800,direct_alpha,qualification_hidden,c25_clip006_video085,24,1.0,0.03567215874021526,0.06757214174961589
13800,direct_alpha,qualification_hidden,c13_clip001_video111,24,0.9583333333333334,0.41315215777050734,0.46103026580644607
13800,direct_alpha,qualification_hidden,c36_clip004_video051,24,0.9166666666666666,0.7410701416513238,
13800,direct_alpha,qualification_hidden,c42_clip001_video158,24,1.0,0.04255546326775144,0.0713463167604174
13800,direct_alpha,qualification_hidden,c08_clip014_video171,24,0.3333333333333333,2.6743098915369004,1.6360538982400659
13800,direct_alpha,qualification_hidden,c11_clip010_video039,24,0.08333333333333333,2.5439148391346897,2.3553209259199046
13800,direct_alpha,qualification_hidden,c25_clip002_video071,24,1.0,0.04423737211048071,0.07544732523572188
13800,direct_alpha,qualification_hidden,c07_clip000_video029,24,0.0,5.119925088580215,4.968882601578383
13800,direct_alpha,qualification_hidden,c35_clip000_video011,24,1.0,0.003231404032284809,
13800,direct_alpha,qualification_hidden,c48_clip002_video001,24,0.9583333333333334,1.3478671468904249,1.453729778268588
13800,direct_alpha,qualification_hidden,c22_clip007_video005,24,0.9583333333333334,0.875167577873642,0.9211607170795141
13800,direct_alpha,qualification_hidden,c44_clip019_video026,24,0.5,1.3728543947851266,0.7657546795922148
