participant_id,fold,method,candidate_id,response_sigma,conditional_update_nll,conditional_update_mse,free_run_bucket_mse,early_update_nll,late_update_nll
127,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.8448177758121633,13.134790182512758,14.582859313599968,2.8582499676330158,2.7980701093789113
138,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.0924342723027487,28.3292098763903,34.44530139228325,2.9858803400388436,3.110626875680606
139,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.944808257308164,19.27047727434949,24.192722492988555,2.9176540853324937,3.013827545802817
140,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.8037805491449,10.616634672308674,11.81517089897921,2.940859892407205,2.7723691897076064
141,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.5935340261716022,59.07804962128827,91.37896135713467,3.3378075755044305,3.601261012861623
150,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.852929335452881,13.632537478431123,18.03186207213657,2.7766394771776577,2.820930661992037
154,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.989687684794943,83.3871123763903,73.4785024691086,3.6597040855012324,3.9690797803749165
162,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.9232186601875654,17.94568104985969,16.820582392369104,2.8714277547156817,2.910414708494293
164,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.8068073690541406,10.802368549859693,14.301658738139771,2.7771025393403073,2.8023147351891877
167,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.7832304859798582,9.355627070267857,8.418682235573867,2.6964668346842244,2.7546659303606216
168,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.7178274291195414,66.7050298763903,82.89818887066814,4.0476502677778035,3.7153684537248566
177,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.347218608998577,43.96346768251276,42.405842864553,3.2775601484312205,3.453509542639553
187,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.6884492689185913,3.5395945702678566,5.3555629875313295,2.6776526523014494,2.699569009043869
189,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.580807475449811,58.297113958022955,44.56440030209171,3.9058962610742327,3.439707748746887
195,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.834627267158571,12.509472937614795,14.687939059526796,3.05268327515033,2.717942131632566
203,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,4.766280367292833,131.04094528455357,131.02811183668578,5.269543668272453,4.651765850116389
206,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.177660537528171,33.55892462128826,39.32696342540154,2.9865113258428932,3.322363258551932
211,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.862247432019086,14.204321151900507,11.779904033242001,2.8123459785399425,2.8829366061183044
215,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.9614633106112476,20.292476509043365,19.148122023681157,2.814550782502879,2.977174209247603
0,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,3.1658629728403094,32.553650168400004,41.307238734013154,3.1878741985702845,3.176031451742568
3,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,3.2242952341533915,35.846207196971434,42.13297291703873,2.8465957883872655,3.445877968701018
9,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,3.381891054338496,44.72645953982858,49.151191722173664,3.7342077028733995,3.258328708613815
10,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,2.964815680765789,21.22498241329796,26.632559012786732,3.0932975890271677,2.9406672393350006
11,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,3.3147878919730864,40.945312209216326,49.76766073101939,3.132656404321455,3.25260950443475
13,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,3.08726302575214,28.124678870440825,36.24643038717975,3.1815870309357366,2.908659118852165
38,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,2.9362243416864184,19.613909825542855,23.8870860017455,2.8625606971184108,2.707322510283095
40,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,2.818633189402402,12.987851441869386,14.81535681338495,2.698355269300393,2.8857750799092705
41,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,2.7558365183069653,9.44936745819592,11.99182921774014,2.7396016796143194,2.7189589484893704
44,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,2.7751387827819176,10.537016731665306,14.484832757099191,2.8322017018810954,2.734813763341158
45,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,3.456265868896247,48.917351915338784,59.15322976720068,3.5079842724287915,3.373813759383533
55,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,3.036047483633244,25.238771507175507,24.491145484729156,2.973327590887995,3.036390023485532
65,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,2.922527496646033,18.84211625819592,20.418559479732732,3.1748933543051097,2.735940473288234
81,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,4.0605362237175004,82.96694300105307,145.18798542874663,3.7353774508739783,4.408984364787429
84,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,2.963579341774416,21.155316845951017,19.11733072748386,2.9190081098803278,2.9117599159102383
87,3,fixed_gain,fixed_gain:656de11688f3,5.307931483894583,3.1391814565482403,31.05019279697143,42.948851147819674,3.18946055277076,3.183885124167219
