seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39128,oracle_imm,oracle_imm,0.00390625,,0.00642014450207309,,,,False
39128,oracle_imm,oracle_imm,0.03125,,0.006664821894308261,,,,False
39128,seen_imm,seen_imm,0.015625,,-0.005851593344122205,,,,True
39128,seen_imm,seen_imm,0.0078125,,-0.004187487445462985,,,,False
39128,seen_imm,seen_imm,0.03125,,-0.003173165674673392,,,,False
39128,seen_imm,seen_imm,0.00390625,,-0.0003140311255415649,,,,False
39129,factorized,online_em,0.002:0.5:0.2,,0.06145772117301201,0.002,0.5,0.2,True
39129,factorized,online_em,0.01:0.5:0.2,,0.06173190104085371,0.01,0.5,0.2,False
39129,factorized,online_em,0.05:0.5:0.2,,0.06629019358510785,0.05,0.5,0.2,False
39129,factorized,online_em,0.002:0.2:0.2,,0.07068519813352069,0.002,0.2,0.2,False
39129,factorized,online_em,0.01:0.2:0.2,,0.07156677069263931,0.01,0.2,0.2,False
39129,factorized,online_em,0.05:0.2:0.2,,0.07391207085911959,0.05,0.2,0.2,False
39129,factorized,online_em,0.01:0.5:0.5,,0.08073189267048513,0.01,0.5,0.5,False
39129,factorized,online_em,0.002:0.5:0.5,,0.08092002357972093,0.002,0.5,0.5,False
39129,factorized,online_em,0.05:0.5:0.5,,0.08443747065297758,0.05,0.5,0.5,False
39129,factorized,online_em,0.01:0.2:0.5,,0.08848327704712283,0.01,0.2,0.5,False
39129,factorized,online_em,0.002:0.2:0.5,,0.08867751929684464,0.002,0.2,0.5,False
39129,factorized,online_em,0.05:0.2:0.5,,0.09104636198603744,0.05,0.2,0.5,False
39129,factorized,online_em,0.002:0.2:0.08,,0.09520320416555261,0.002,0.2,0.08,False
39129,factorized,online_em,0.002:0.5:0.08,,0.09629796293014257,0.002,0.5,0.08,False
39129,factorized,online_em,0.01:0.2:0.08,,0.09860434091288695,0.01,0.2,0.08,False
39129,factorized,online_em,0.002:0.08:0.2,,0.09881469766188006,0.002,0.08,0.2,False
39129,factorized,online_em,0.01:0.08:0.2,,0.09912467614607696,0.01,0.08,0.2,False
39129,factorized,online_em,0.01:0.5:0.08,,0.09964712089547373,0.01,0.5,0.08,False
39129,factorized,online_em,0.05:0.08:0.2,,0.10045778637348061,0.05,0.08,0.2,False
39129,factorized,online_em,0.05:0.2:0.08,,0.1020330369261696,0.05,0.2,0.08,False
39129,factorized,online_em,0.05:0.5:0.08,,0.10716723998290256,0.05,0.5,0.08,False
39129,factorized,online_em,0.002:0.08:0.08,,0.11300312031039801,0.002,0.08,0.08,False
39129,factorized,online_em,0.01:0.08:0.5,,0.11603594510955674,0.01,0.08,0.5,False
39129,factorized,online_em,0.01:0.08:0.08,,0.11620234363985316,0.01,0.08,0.08,False
39129,factorized,online_em,0.002:0.08:0.5,,0.1165030745847954,0.002,0.08,0.5,False
39129,factorized,online_em,0.05:0.08:0.5,,0.11679793844379678,0.05,0.08,0.5,False
39129,factorized,online_em,0.05:0.08:0.08,,0.11738848327885627,0.05,0.08,0.08,False
