seed,method,block_id,sequence_id,previous_cell,cell,window,n_samples,nll,latent_mse
43002,oracle_event_learned_qr,8,0,011,011,1,1,2.3926177779166116,0.3107498580521513
43002,oracle_event_learned_qr,8,0,011,011,4,4,1.260673464162884,0.1374799891364708
43002,oracle_event_learned_qr,8,0,011,011,8,8,0.9743653556042173,0.15250049228949036
43002,oracle_event_learned_qr,8,0,011,011,16,16,0.9064626048438144,0.10668269037850762
43002,oracle_event_learned_qr,9,0,011,111,1,1,5.411390854178999,0.07359841042404247
43002,oracle_event_learned_qr,9,0,011,111,4,4,1.684662620849646,0.10466708856489997
43002,oracle_event_learned_qr,9,0,011,111,8,8,1.1161573816426578,0.07512438824128664
43002,oracle_event_learned_qr,9,0,011,111,16,16,1.2618528490521967,0.07127433114291154
43002,oracle_event_learned_qr,10,0,111,110,1,1,-0.22789460056585167,0.0002626102091213476
43002,oracle_event_learned_qr,10,0,111,110,4,4,0.11115332472045908,0.0008078002601329434
43002,oracle_event_learned_qr,10,0,111,110,8,8,-0.08723472700753349,0.0039786246479647696
43002,oracle_event_learned_qr,10,0,111,110,16,16,0.14131598750911528,0.007556484441729435
43002,oracle_event_learned_qr,11,0,110,111,1,1,-0.6432772582351206,0.02848172925688237
43002,oracle_event_learned_qr,11,0,110,111,4,4,0.8397784699985325,0.03319430653842858
43002,oracle_event_learned_qr,11,0,110,111,8,8,1.6721283760182442,0.0392867187509865
43002,oracle_event_learned_qr,11,0,110,111,16,16,1.8709332766745228,0.11284500073708564
43002,oracle_event_learned_qr,13,1,011,110,1,1,0.5613608047765737,0.0015331679771661748
43002,oracle_event_learned_qr,13,1,011,110,4,4,0.6561611540187617,0.013981669261534619
43002,oracle_event_learned_qr,13,1,011,110,8,8,1.2379321686212101,0.012831886901187336
43002,oracle_event_learned_qr,13,1,011,110,16,16,1.0151808953680912,0.008966960448308022
43002,oracle_event_learned_qr,14,1,110,011,1,1,2.694731373627016,0.004112401308872605
43002,oracle_event_learned_qr,14,1,110,011,4,4,2.5513302765335997,0.054136848805390964
43002,oracle_event_learned_qr,14,1,110,011,8,8,2.0461575810226877,0.04786268314420444
43002,oracle_event_learned_qr,14,1,110,011,16,16,1.2169827696189497,0.03256865954220067
43002,oracle_event_learned_qr,15,1,011,011,1,1,0.5763410652271141,0.09486482920910325
43002,oracle_event_learned_qr,15,1,011,011,4,4,0.4524733030692907,0.052558106336460166
43002,oracle_event_learned_qr,15,1,011,011,8,8,0.9826895679763828,0.06977715016558397
43002,oracle_event_learned_qr,15,1,011,011,16,16,0.8442138605589856,0.07694639419830573
43002,oracle_event_learned_qr,16,1,011,110,1,1,0.2875180241774099,0.0053333277590202535
43002,oracle_event_learned_qr,16,1,011,110,4,4,0.2043133409268012,0.009751896294641035
43002,oracle_event_learned_qr,16,1,011,110,8,8,0.8653956024258657,0.005975681403880461
43002,oracle_event_learned_qr,16,1,011,110,16,16,0.41025812093193115,0.0037071561282766676
43002,oracle_event_learned_qr,17,1,110,111,1,1,-0.8374338443740683,0.04566695248194392
43002,oracle_event_learned_qr,17,1,110,111,4,4,1.0506668270575148,0.21834425774395444
43002,oracle_event_learned_qr,17,1,110,111,8,8,2.3143318717864787,0.3097197401378129
43002,oracle_event_learned_qr,17,1,110,111,16,16,2.0863900800591564,0.18814590442643864
43002,oracle_event_learned_qr,18,1,111,111,1,1,1.276342462402802,0.004470485166420936
43002,oracle_event_learned_qr,18,1,111,111,4,4,0.7707879553103529,0.2506546340398031
43002,oracle_event_learned_qr,18,1,111,111,8,8,0.6653877853434126,0.13955045931381055
43002,oracle_event_learned_qr,18,1,111,111,16,16,0.7977362209665462,0.09216638358403254
43002,oracle_event_learned_qr,19,1,111,111,1,1,0.6779205582556614,0.002101175829844931
43002,oracle_event_learned_qr,19,1,111,111,4,4,0.9961420231902764,0.03654490336378187
43002,oracle_event_learned_qr,19,1,111,111,8,8,1.8611084196166074,0.049108899153556096
43002,oracle_event_learned_qr,19,1,111,111,16,16,1.5692586791337784,0.08227492875838721
43002,oracle_event_learned_qr,20,1,111,101,1,1,1.0391568745835211,0.5925903039255593
43002,oracle_event_learned_qr,20,1,111,101,4,4,1.1268863092942563,0.6557046089185461
43002,oracle_event_learned_qr,20,1,111,101,8,8,1.0799486252809987,0.3420005338561009
43002,oracle_event_learned_qr,20,1,111,101,16,16,0.884926667647158,0.18654501161859333
43002,oracle_event_learned_qr,21,1,101,101,1,1,1.1349302444765788,0.00462519173513887
43002,oracle_event_learned_qr,21,1,101,101,4,4,0.5575297773356599,0.13537418205073565
43002,oracle_event_learned_qr,21,1,101,101,8,8,0.5840143079990667,0.1178195679184134
43002,oracle_event_learned_qr,21,1,101,101,16,16,1.1719331896471035,0.08641535542686603
43002,oracle_event_learned_qr,22,1,101,110,1,1,0.012171265126944044,0.0012761146831368954
43002,oracle_event_learned_qr,22,1,101,110,4,4,0.3550005129136554,0.01502883859188557
43002,oracle_event_learned_qr,22,1,101,110,8,8,0.0959734016778675,0.01615453935171124
43002,oracle_event_learned_qr,22,1,101,110,16,16,-0.005342223830651555,0.01123672253312229
43002,oracle_event_learned_qr,23,1,110,101,1,1,0.855886217881335,0.027477013967933547
43002,oracle_event_learned_qr,23,1,110,101,4,4,0.895928903382776,0.022605156911921227
43002,oracle_event_learned_qr,23,1,110,101,8,8,0.5777080199584841,0.015294208573183107
43002,oracle_event_learned_qr,23,1,110,101,16,16,1.000671057422407,0.04143169241284937
43002,oracle_event_learned_qr,25,2,101,011,1,1,7.16906411327345,0.3255791875750272
43002,oracle_event_learned_qr,25,2,101,011,4,4,2.4880095001986797,0.24861356305118384
43002,oracle_event_learned_qr,25,2,101,011,8,8,1.6795395798502564,0.1386311934418968
43002,oracle_event_learned_qr,25,2,101,011,16,16,1.43067318600512,0.09773841849361178
43002,oracle_event_learned_qr,26,2,011,101,1,1,0.29318959220571195,0.19086035639694046
43002,oracle_event_learned_qr,26,2,011,101,4,4,0.4995199947870097,0.13144713242027178
43002,oracle_event_learned_qr,26,2,011,101,8,8,0.8094018140358749,0.09690892255468742
43002,oracle_event_learned_qr,26,2,011,101,16,16,0.755339564878374,0.10065265089521948
43002,oracle_event_learned_qr,27,2,101,101,1,1,1.4497838505460243,0.06278235466504709
43002,oracle_event_learned_qr,27,2,101,101,4,4,0.6829308904658749,0.09491448426141211
43002,oracle_event_learned_qr,27,2,101,101,8,8,0.5753694106838918,0.08280162025759524
43002,oracle_event_learned_qr,27,2,101,101,16,16,1.0868988940224256,0.11450391965918603
43002,oracle_event_learned_qr,28,2,101,011,1,1,0.1529162061232414,0.1229620559467158
43002,oracle_event_learned_qr,28,2,101,011,4,4,0.6921807525233354,0.14217923271519264
43002,oracle_event_learned_qr,28,2,101,011,8,8,0.8235142323850749,0.10913997892041831
43002,oracle_event_learned_qr,28,2,101,011,16,16,0.7341482927168991,0.07842374923080837
43002,oracle_event_learned_qr,29,2,011,111,1,1,0.560968616445735,0.03153375871850524
43002,oracle_event_learned_qr,29,2,011,111,4,4,1.9864479775101438,0.08628340452505266
43002,oracle_event_learned_qr,29,2,011,111,8,8,1.3345022803252962,0.09041487015169519
43002,oracle_event_learned_qr,29,2,011,111,16,16,0.9409924960274128,0.07174842595825348
43002,oracle_event_learned_qr,30,2,111,011,1,1,0.3063797296906114,0.06161833781830202
43002,oracle_event_learned_qr,30,2,111,011,4,4,0.8666191394484305,0.03991624004325632
43002,oracle_event_learned_qr,30,2,111,011,8,8,1.0375801233971067,0.023889958152119896
43002,oracle_event_learned_qr,30,2,111,011,16,16,0.9032968260541299,0.04420469668834661
43002,oracle_event_learned_qr,31,2,011,110,1,1,0.5502961036123228,0.00016568681034485888
43002,oracle_event_learned_qr,31,2,011,110,4,4,0.382860388545689,0.002387220421706625
43002,oracle_event_learned_qr,31,2,011,110,8,8,0.2953334983484827,0.005314344983672479
43002,oracle_event_learned_qr,31,2,011,110,16,16,0.08061213941114939,0.011581328978123383
43002,oracle_event_learned_qr,32,2,110,111,1,1,-0.08621800794671648,0.007970086844402143
43002,oracle_event_learned_qr,32,2,110,111,4,4,0.3686204546334231,0.011159789896937413
43002,oracle_event_learned_qr,32,2,110,111,8,8,0.3613254020915222,0.010973219034921145
43002,oracle_event_learned_qr,32,2,110,111,16,16,0.20821136461123785,0.10395773470183249
43002,oracle_event_learned_qr,33,2,111,111,1,1,0.9171996793305175,0.220012520762596
43002,oracle_event_learned_qr,33,2,111,111,4,4,0.7409449558578288,0.08805941733857786
43002,oracle_event_learned_qr,33,2,111,111,8,8,1.2086239172907929,0.048935457719845595
43002,oracle_event_learned_qr,33,2,111,111,16,16,0.8884943293196994,0.05798980021315846
43002,oracle_event_learned_qr,34,2,111,110,1,1,0.4966365185011551,0.024636079786061593
43002,oracle_event_learned_qr,34,2,111,110,4,4,0.22980739417790003,0.010257036043134451
43002,oracle_event_learned_qr,34,2,111,110,8,8,0.3055014580623302,0.005828586377993754
43002,oracle_event_learned_qr,34,2,111,110,16,16,0.8284613249822359,0.010437839839588854
43002,oracle_event_learned_qr,35,2,110,110,1,1,3.6010663672752736,0.004665072305151539
43002,oracle_event_learned_qr,35,2,110,110,4,4,0.7833829237385999,0.0022001702728463505
43002,oracle_event_learned_qr,35,2,110,110,8,8,0.29806125397452704,0.0129475663786678
43002,oracle_event_learned_qr,35,2,110,110,16,16,0.4797354930650319,0.014174121778507163
43002,oracle_event_learned_qr,37,3,110,110,1,1,2.7278171815619277,0.12639796871959827
43002,oracle_event_learned_qr,37,3,110,110,4,4,0.3550915534402038,0.036233370006092204
