hazard,feedback_fraction,feedback_delay,selector_mode,n_seeds,mean_accuracy,sd_accuracy,mean_dynamic_regret,mean_switch_latency,mean_false_switch_rate,mean_context_nll,mean_context_brier,expected_feedback_per_dwell,delay_fraction_of_expected_dwell
0.01,0.125,16,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,12.5,0.16
0.01,0.25,0,bayes_reward_filter,30,0.8214518229166666,0.011388096647706254,0.07659505208333334,8.883333333333333,0.0227739354226213,0.4754966983715129,0.15370749854382323,25.0,0.0
0.01,0.25,0,credit_shuffled_local,30,0.7097249348958333,0.016133866137828166,0.18832194010416667,0.36666666666666664,0.07031762041581681,1.7544703876024808,0.5107935072367735,25.0,0.0
0.01,0.25,0,cumulative_sample_average,30,0.7609619140625,0.021245444585219497,0.1370849609375,7.966666666666667,0.001758505328943167,1.9763524304516096,0.3477503630471163,25.0,0.0
0.01,0.25,0,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,25.0,0.0
0.01,0.25,0,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,25.0,0.0
0.01,0.25,0,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,25.0,0.0
0.01,0.25,0,persistent_rpe_local,30,0.8264892578125,0.012434265337444754,0.0715576171875,10.233333333333333,0.021443311617787335,0.7670584213502448,0.19766587423039061,25.0,0.0
0.01,0.25,0,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,25.0,0.0
0.01,0.25,4,bayes_reward_filter,30,0.8126790364583333,0.01078628211628372,0.08536783854166667,12.35,0.023243045802299266,0.5171251306893166,0.17046881795532107,25.0,0.04
0.01,0.25,4,credit_shuffled_local,30,0.7106201171875,0.014007089414813314,0.1874267578125,0.06666666666666667,0.06312810874014364,1.7827723392354358,0.5100099340100798,25.0,0.04
