seed,method,event_index,sequence_id,cell,window,n_samples,nll,latent_mse
43005,learned_event_learned_qr,516,0,101,1,1,4.778189213546376,0.2917317314453706
43005,learned_event_learned_qr,516,0,101,4,4,2.167986864437025,0.12750974563993234
43005,learned_event_learned_qr,516,0,101,8,8,1.553141145433941,0.12908896003289347
43005,learned_event_learned_qr,516,0,101,16,10,1.4222218041404129,0.10712904291276885
43005,learned_event_learned_qr,527,0,101,1,1,0.44099397520626515,0.0037260152110534057
43005,learned_event_learned_qr,527,0,101,4,4,0.36847020975501427,0.00739455666814659
43005,learned_event_learned_qr,527,0,101,8,8,0.47682772216101765,0.0370799547670164
43005,learned_event_learned_qr,527,0,101,16,10,0.47304860358354317,0.03182487340302847
43005,learned_event_learned_qr,538,0,101,1,1,0.2040959957010611,0.0002308277055413215
43005,learned_event_learned_qr,538,0,101,4,4,0.33409707355765705,0.06487356692838128
43005,learned_event_learned_qr,538,0,101,8,8,0.3621810041272174,0.04737133077492744
43005,learned_event_learned_qr,538,0,101,16,12,0.19757107821292572,0.03492144925200764
43005,learned_event_learned_qr,551,0,101,1,1,0.5085547517759289,0.02745595656893786
43005,learned_event_learned_qr,551,0,101,4,4,1.619793110143851,0.03700978460365903
43005,learned_event_learned_qr,551,0,101,8,8,1.1713938596445717,0.09374206258490252
43005,learned_event_learned_qr,551,0,101,16,16,0.8395639443527833,0.07797361034388295
43005,learned_event_learned_qr,591,0,101,1,1,2.045304437721964,0.0411963307202103
43005,learned_event_learned_qr,591,0,101,4,1,2.045304437721964,0.0411963307202103
43005,learned_event_learned_qr,591,0,101,8,1,2.045304437721964,0.0411963307202103
43005,learned_event_learned_qr,591,0,101,16,1,2.045304437721964,0.0411963307202103
43005,learned_event_learned_qr,593,0,101,1,1,2.812073043262236,0.10117427147433403
43005,learned_event_learned_qr,593,0,101,4,4,1.2165216481387602,0.07126993343310353
43005,learned_event_learned_qr,593,0,101,8,8,1.0031136874311217,0.07264718498577777
43005,learned_event_learned_qr,593,0,101,16,10,1.1609986470953844,0.06555306138019999
43005,learned_event_learned_qr,604,0,101,1,1,0.72150746138143,0.030216411449924225
43005,learned_event_learned_qr,604,0,101,4,4,0.6735640649963499,0.02077520966430818
43005,learned_event_learned_qr,604,0,101,8,8,0.6762058177569601,0.038310417985921635
43005,learned_event_learned_qr,604,0,101,16,16,0.7096729349810431,0.049075548273683746
43005,learned_event_learned_qr,635,0,101,1,1,-0.18381171792524476,0.002889814557577403
43005,learned_event_learned_qr,635,0,101,4,4,0.6607625306645518,0.1560643051141791
43005,learned_event_learned_qr,635,0,101,8,8,0.3605185927567759,0.08713639012051139
43005,learned_event_learned_qr,635,0,101,16,16,0.4858396582302871,0.08382346331784982
43005,learned_event_learned_qr,675,0,110,1,1,0.8532290118239427,0.10584622041290702
43005,learned_event_learned_qr,675,0,110,4,4,0.6143099092991944,0.036433027374112345
43005,learned_event_learned_qr,675,0,110,8,8,0.3619866527774043,0.02059556603019078
43005,learned_event_learned_qr,675,0,110,16,16,0.15479067081649897,0.01838025670080975
43005,learned_event_learned_qr,717,0,110,1,1,-0.6300937504511217,0.0035061557150887056
43005,learned_event_learned_qr,717,0,110,4,1,-0.6300937504511217,0.0035061557150887056
43005,learned_event_learned_qr,717,0,110,8,1,-0.6300937504511217,0.0035061557150887056
43005,learned_event_learned_qr,717,0,110,16,1,-0.6300937504511217,0.0035061557150887056
43005,learned_event_learned_qr,719,0,110,1,1,0.4034567311460167,0.018431570665003554
43005,learned_event_learned_qr,719,0,110,4,4,-0.13145900744069428,0.01244666515970386
43005,learned_event_learned_qr,719,0,110,8,7,0.26554420945204665,0.00968484375143447
43005,learned_event_learned_qr,719,0,110,16,7,0.26554420945204665,0.00968484375143447
43005,learned_event_learned_qr,727,0,110,1,1,0.929792501147918,0.0008270250730387657
43005,learned_event_learned_qr,727,0,110,4,4,0.9816734755730088,0.011936946186005182
43005,learned_event_learned_qr,727,0,110,8,8,0.4450384213664029,0.012712650510692904
43005,learned_event_learned_qr,727,0,110,16,11,0.35914083965871363,0.010432748785215372
43005,learned_event_learned_qr,739,0,110,1,1,-0.107983018419667,0.0004791911401393677
43005,learned_event_learned_qr,739,0,110,4,4,-0.3531322191381712,0.006432603286829146
